type,timestamp,generated_file,original_file,num_users,accuracy,f1_score,edit_dist,bleu_score,data_jsd,macro_int,micro_int,act_type,uni_act_type,traj_len,macro_hour,micro_hour
Multi_agent,2025-11-17 12:24:56,all_trajectories_20251117_122412.json,all_user_schedules.json,41,0.715193,0.158146,0.283283,0.715193,0.7096,0.64613,0.696173,0.172285,0.315447,0.424984,0.625825,0.641942
Household,2025-11-17 12:34:59,all_trajectories_20251117_123218.json,all_user_schedules.json,41,0.683689,0.163131,0.309451,0.683689,0.728944,0.470204,0.614518,0.163998,0.200268,0.697303,0.502178,0.641162
Personal,2025-11-17 12:35:25,all_trajectories_20251117_123227.json,all_user_schedules.json,41,0.669461,0.152733,0.322917,0.669461,0.728944,0.459168,0.618376,0.172988,0.20133,0.76661,0.489445,0.63663
Personal,2025-11-17 15:03:50,copb_output_20251117_145840.json,all_user_schedules.json,2,0.479167,0.144935,0.520833,0.479167,0.832555,0.730766,0.797742,0.421158,0.479005,0.832555,0.76134,0.76134
Personal,2025-11-17 15:53:39,copb_output_20251117_152927.json,all_user_schedules.json,41,0.518293,0.125411,0.471037,0.518293,0.728944,0.702062,0.777098,0.32022,0.295386,0.832555,0.561362,0.700531
Household,2025-11-17 16:30:34,all_trajectories_20251117_162803.json,all_user_schedules.json,41,0.707825,0.163132,0.287856,0.707825,0.706952,0.482633,0.642359,0.192574,0.262939,0.472799,0.523111,0.616599
Personal,2025-11-24 12:16:52,all_trajectories_20251124_121424.json,all_user_schedules.json,41,0.652693,0.156331,0.33689,0.652693,0.728944,0.479647,0.606096,0.190546,0.233028,0.308232,0.489599,0.581406
Personal,2025-11-24 12:20:03,all_trajectories_20251124_121424.json,all_user_schedules.json,41,0.652693,0.156331,0.33689,0.652693,0.691267,0.479647,0.606096,0.190546,0.233028,0.308232,0.489599,0.581406
Personal,2025-11-24 12:34:20,all_trajectories_20251124_123017.json,all_user_schedules.json,41,0.64126,0.181928,0.355437,0.64126,0.7096,0.4748,0.624654,0.221442,0.232385,0.31648,0.500608,0.586504
Personal,2025-11-24 13:27:10,all_trajectories_20251124_124650.json,all_user_schedules.json,41,0.761687,0.165441,0.236789,0.761687,0.7096,0.642569,0.695412,0.103257,0.271283,0.379941,0.570231,0.614488
Personal,2025-11-24 14:24:24,all_trajectories_20251124_134429.json,all_user_schedules.json,41,0.6338922764227642,0.1591908946445938,0.3630589430894309,0.6338922764227642,0.7055092015293613,0.5217340155165111,0.6394015300770278,0.2228253443911612,0.2137537741996373,0.2730805583208452,0.5193325950558163,0.6009614157516772
Personal,2025-11-24 14:36:33,all_trajectories_20251124_143139.json,all_user_schedules.json,41,0.6453252032520326,0.1695144833773127,0.3506097560975609,0.6453252032520325,0.7096003185624873,0.519032447694688,0.6055151635829401,0.2036019983859132,0.2185974677246967,0.2678384611994887,0.4995845690304709,0.6043897393674034
Multi_agent,2025-11-24 15:35:03,all_trajectories_20251124_153021.json,all_user_schedules.json,41,0.7332317073170732,0.1676704709182284,0.2660060975609756,0.7332317073170732,0.7289437918506446,0.5444864701835175,0.7076062593082325,0.1666347607774766,0.337516833572032,0.5775634117327602,0.5725582955608737,0.6586413261785047
Multi_agent,2025-11-24 16:06:49,all_trajectories_20251124_160422.json,all_user_schedules.json,44,0.7341382575757576,0.1498135175198601,0.2625473484848485,0.7341382575757577,0.7343102669029574,0.495943650256277,0.6551773722547651,0.1665576155106253,0.3319150738611087,0.5416895441387961,0.5039882268975193,0.6184339838851415
Multi_agent,2025-11-24 17:05:56,all_trajectories_20251124_170127.json,all_user_schedules.json,43,0.7076065891472868,0.1344890974980677,0.2902131782945736,0.7076065891472867,0.6912177867058457,0.5394116672186788,0.6404012497819969,0.1433698126170366,0.2896806938498291,0.4047040980413582,0.4605283282947122,0.5563403078728643
Multi_agent,2025-11-24 18:23:03,all_trajectories_20251124_181028.json,all_user_schedules.json,41,0.6918191056910569,0.1279331300798173,0.3061483739837398,0.6918191056910569,0.7289437918506447,0.4970387894960625,0.6571235448734095,0.1952182925832724,0.3383062928749689,0.3657826017130544,0.5184802779862583,0.6291328574816207
Multi_agent,2025-11-24 18:24:53,all_trajectories_20251124_181028.json,all_user_schedules.json,41,0.6918191056910569,0.1279331300798173,0.3061483739837398,0.6918191056910569,0.7096003185624874,0.4970387894960625,0.6571235448734095,0.1952182925832724,0.3383062928749689,0.3657826017130544,0.5184802779862583,0.6291328574816207
Multi_agent,2025-12-01 16:17:04,all_trajectories_20251201_141702.json,all_user_schedules.json,18,0.7442129629629629,0.190869547171011,0.255787037037037,0.8037450630102945,0.7206586284775656,0.488249983322102,0.6996895257532075,0.2184190250161563,0.3523279904300367,0.3840333584833909,0.5184380535231946,0.6230540317312209
Multi_agent,2025-12-01 17:15:17,all_trajectories_20251201_163509.json,all_user_schedules.json,36,0.7230902777777778,0.1644810649245683,0.2685185185185185,0.8207663272151685,0.7410503213638746,0.3798507058483962,0.5909417410618794,0.1753079844126255,0.3076592260995945,0.3269150282375772,0.4265985882090462,0.5665971967100518
Multi_agent,2025-12-10 12:20:55,all_trajectories_20251210_100124.json,all_user_schedules.json,37,0.6858108108108109,0.1331325574579632,0.3139076576576576,0.7178996330136477,0.6998406245212833,0.3686732214071479,0.5765779203771307,0.195910075476319,0.3616773330564101,0.4658609851098084,0.3483780818374996,0.566010464978032
Multi_agent,2025-12-11 15:59:45,all_trajectories_20251210_135325.json,all_user_schedules.json,41,0.6605691056910569,0.1491873549243915,0.33765243902439024,0.7283119993311296,0.7069521376378128,0.3562367219007576,0.5497345443320099,0.17990140970271623,0.30134776715973055,0.36386408562403316,0.35569980370184373,0.5977090279653056
